ticker	date	open	high	low	close
ZEN	09/02/2020	11.87	12.48	11.39	11.71
ZEN	10/02/2020	11.71	12.43	11.36	12.27
ZEN	11/02/2020	12.27	12.98	12.11	12.93
ZEN	12/02/2020	12.93	13.74	12.59	13.41
ZEN	13/02/2020	13.41	13.89	12.97	13.25
ZEN	14/02/2020	13.25	14.68	13.19	14.34
ZEN	15/02/2020	14.34	14.34	13.46	13.59
ZEN	16/02/2020	13.59	13.87	12.55	13.08
ZEN	17/02/2020	13.08	13.08	11.95	12.39
ZEN	18/02/2020	12.39	13.02	12.39	12.65
ZEN	19/02/2020	12.65	12.65	11.12	11.23
ZEN	20/02/2020	11.23	11.89	11.22	11.7
ZEN	21/02/2020	11.7	11.82	11.37	11.54
ZEN	22/02/2020	11.54	11.74	11.42	11.61
ZEN	23/02/2020	11.61	12.18	11.61	11.94
ZEN	24/02/2020	11.94	11.94	11.1	11.16
ZEN	25/02/2020	11.16	11.38	10.53	10.55
ZEN	26/02/2020	10.55	10.68	9.092	10.51
ZEN	27/02/2020	10.51	11.17	10.04	10.98
ZEN	28/02/2020	10.98	11.07	10.43	10.5
ZEN	29/02/2020	10.5	10.5	10.06	10.09
ZEN	01/03/2020	10.09	10.16	9.9	9.926
ZEN	02/03/2020	9.926	10.43	9.926	10.29
ZEN	03/03/2020	10.29	10.29	9.879	9.984
ZEN	04/03/2020	9.984	10.42	9.984	10.29
ZEN	05/03/2020	10.29	10.68	10.29	10.35
ZEN	06/03/2020	10.35	10.47	10.18	10.21
ZEN	07/03/2020	10.21	10.21	9.545	9.883
ZEN	08/03/2020	9.883	9.883	8.767	9.274
ZEN	09/03/2020	9.274	9.39	8.826	8.937
ZEN	10/03/2020	8.937	8.953	8.755	8.874
ZEN	11/03/2020	8.874	8.978	8.422	8.827
ZEN	12/03/2020	8.827	8.827	4.465	4.951
ZEN	13/03/2020	4.951	6.607	4.739	6.196
ZEN	14/03/2020	6.196	6.196	5.239	5.254
ZEN	15/03/2020	5.254	5.475	5.194	5.224
ZEN	16/03/2020	5.224	5.224	4.505	4.587
ZEN	17/03/2020	4.587	5.063	4.587	4.854
ZEN	18/03/2020	4.854	4.942	4.817	4.856
ZEN	19/03/2020	4.856	5.793	4.856	5.466
ZEN	20/03/2020	5.466	5.921	5.369	5.912
ZEN	21/03/2020	5.912	5.944	5.647	5.712
ZEN	22/03/2020	5.712	5.712	5.007	5.04
ZEN	23/03/2020	5.04	5.645	5.04	5.413
ZEN	24/03/2020	5.413	5.632	5.413	5.471
ZEN	25/03/2020	5.471	5.641	5.275	5.442
ZEN	26/03/2020	5.442	5.657	5.442	5.64
ZEN	27/03/2020	5.64	5.64	5.093	5.155
ZEN	28/03/2020	5.155	6.04	5.007	6.036
ZEN	29/03/2020	6.036	6.036	5.11	5.402
ZEN	30/03/2020	5.402	6.022	5.402	5.668
ZEN	31/03/2020	5.668	5.729	5.472	5.653
ZEN	01/04/2020	5.653	5.927	5.653	5.745
ZEN	02/04/2020	5.745	5.867	5.427	5.717
ZEN	03/04/2020	5.717	6.377	5.653	5.95
ZEN	04/04/2020	5.95	6.071	5.84	5.903
ZEN	05/04/2020	5.903	5.903	5.666	5.711
ZEN	06/04/2020	5.711	6.232	5.711	6.214
ZEN	07/04/2020	6.214	6.214	5.839	5.899
ZEN	08/04/2020	5.899	6.108	5.899	5.924
ZEN	09/04/2020	5.924	6.017	5.802	5.977
ZEN	10/04/2020	5.991	5.994	5.345	5.476
ZEN	11/04/2020	5.475	5.497	5.233	5.287
ZEN	12/04/2020	5.289	5.593	5.24	5.508
ZEN	13/04/2020	5.507	5.517	5.145	5.347
ZEN	14/04/2020	5.348	5.484	5.27	5.343
